H[mm]	Hmax[T]	Test	Re_w[-]	ReDp_CB[-]	ReDp_HB[-]	U_CB[-]	U_HB[-]	dPCB[kPa]	dPHB[kPa]	Tspan [K]	dT_reg[K]	Qc[W]	Qh[W]	Wpump[W]	Wasco[W]	Wmotor[W]	COP[-]	Q_wall-Loss[W]
12	1.1	Test1	0.0585	8.0137	8.0137	0.3977	0.3977	85.23524007	-85.23524007	35	35.53690724	39.72507213	36.72782925	6.01610598	20.16	5.14002782	1.268517767	-547.1574611
12	1.2	Test1	0.0585	8.0137	8.0137	0.3977	0.3977	85.23524007	-85.23524007	35	35.76583541	55.27301564	53.80760427	6.01610598	20.16	7.15177652	1.658461669	-560.403326
12	1.3	Test1	0.0585	8.0137	8.0137	0.3977	0.3977	85.23524007	-85.23524007	35	35.980775	69.8286697	69.88671933	6.01610598	20.16	9.03513286	1.98313584	-572.8522398
14	1.1	Test1	0.0585	8.0137	8.0137	0.3977	0.3977	85.23524007	-85.23524007	35	35.59699988	50.5769118	48.61891064	7.01879031	20.16	6.54414755	1.499777748	-586.2783054
14	1.2	Test1	0.0585	8.0137	8.0137	0.3977	0.3977	85.23524007	-85.23524007	35	35.82224828	68.40705744	68.24287955	7.01879031	20.16	8.85119043	1.898614877	-601.4948186
14	1.3	Test1	0.0585	8.0137	8.0137	0.3977	0.3977	85.23524007	-85.23524007	35	36.03385795	85.10703804	86.73009675	7.01879031	20.16	11.01200123	2.228470126	-615.6416046
16	1.1	Test1	0.0585	8.0137	8.0137	0.3977	0.3977	85.23524007	-85.23524007	35	35.64674732	61.84767877	60.97999551	8.02147464	20.16	8.0024723	1.709257392	-625.5437325
16	1.2	Test1	0.0585	8.0137	8.0137	0.3977	0.3977	85.23524007	-85.23524007	35	35.86870593	81.90937634	83.09811988	8.02147464	20.16	10.59825572	2.112169826	-642.6245032
16	1.3	Test1	0.0585	8.0137	8.0137	0.3977	0.3977	85.23524007	-85.23524007	35	36.07753862	100.7266045	103.9674235	8.02147464	20.16	13.03301722	2.44396085	-658.3019025
18	1.1	Test1	0.0585	8.0137	8.0137	0.3977	0.3977	85.23524007	-85.23524007	35	35.68872665	73.45015754	73.7119968	9.02415896	20.16	9.50371724	1.898531653	-664.9606045
18	1.2	Test1	0.0585	8.0137	8.0137	0.3977	0.3977	85.23524007	-85.23524007	35	35.90779643	95.7070529	98.29009013	9.02415896	20.16	12.38353734	2.302438225	-683.8008587
18	1.3	Test1	0.0585	8.0137	8.0137	0.3977	0.3977	85.23524007	-85.23524007	35	36.11430186	116.6209875	121.5262908	9.02415896	20.16	15.08959173	2.634088724	-700.8546681
20	1.1	Test1	0.0585	8.0137	8.0137	0.3977	0.3977	85.23524007	-85.23524007	35	35.72465472	85.31387841	86.73965207	10.02684329	20.16	11.0387643	2.069438958	-704.5181802
20	1.2	Test1	0.0585	8.0137	8.0137	0.3977	0.3977	85.23524007	-85.23524007	35	35.94121234	109.7408285	113.7551136	10.02684329	20.16	14.19936782	2.472408113	-725.0098659
20	1.3	Test1	0.0585	8.0137	8.0137	0.3977	0.3977	85.23524007	-85.23524007	35	36.14578604	132.7429762	139.3501084	10.02684329	20.16	17.17561615	2.802704459	-743.3081431
22	1.1	Test1	0.0585	8.0137	8.0137	0.3977	0.3977	85.23524007	-85.23524007	35	35.75580555	97.39320749	100.0102441	11.02952762	20.16	12.60170892	2.224034195	-744.1935287
22	1.2	Test1	0.0585	8.0137	8.0137	0.3977	0.3977	85.23524007	-85.23524007	35	35.9701693	123.9714278	129.4457011	11.02952762	20.16	16.04066533	2.624834244	-766.2263118
22	1.3	Test1	0.0585	8.0137	8.0137	0.3977	0.3977	85.23524007	-85.23524007	35	36.17313562	149.0566704	157.3976178	11.02952762	20.16	19.28644534	2.953022234	-785.6673262
