Teste	H[mm]	Hmax[T]	Test	Re_w[-]	ReDp_CB[-]	ReDp_HB[-]	U_CB[-]	U_HB[-]	dPCB[kPa]	dPHB[kPa]	Tspan [K]	dT_reg[K]	Qc[W]	Qh[W]	Wpump[W]	Wasco[W]	Wmotor[W]	COP[-]	Q_wall-Loss[W]
1	10	1	Test1	0.0549	7.5096	7.5096	0.3972	0.3972	90.15230491	-90.15230491	21.57216115	27.16532239	38.31777303	37.94873454	6.35793873	20.16	2.99028194	1.298545699	-311.6084726
1	10	1	Test2	0.0504	6.8961	6.8961	0.3966	0.3966	97.11883637	-97.11883637	28.2455586	30.08582327	11.90144785	13.14768368	6.84318948	20.16	1.24618168	0.421299567	-322.9452175
1	10	1	Test3	0.0461	6.3041	6.3041	0.3959	0.3959	105.1419965	-105.1419965	35.34471102	32.34308282	-21.27315485	-19.69277315	7.40319365	20.16	-2.86266275	-0.861242818	-366.7268594
2	10	1.1	Test1	0.0549	7.5096	7.5096	0.3972	0.3972	90.15230491	-90.15230491	20.55477215	28.52847631	54.39179288	54.32713056	6.35793873	20.16	4.02966351	1.780558502	-366.1931655
2	10	1.1	Test2	0.0504	6.8961	6.8961	0.3966	0.3966	97.11883637	-97.11883637	27.21521851	31.51062746	28.18820616	30.30929765	6.84318948	20.16	2.83305504	0.944763881	-366.9135491
2	10	1.1	Test3	0.0461	6.3041	6.3041	0.3959	0.3959	105.1419965	-105.1419965	34.47622789	33.57036068	-7.54298995	-4.88716554	7.40319365	20.16	-0.98683257	-0.283823279	-413.7744702
3	10	1.2	Test1	0.0549	7.5096	7.5096	0.3972	0.3972	90.15230491	-90.15230491	19.6494443	29.74222427	68.69297471	68.9121369	6.35793873	20.16	4.84920455	2.189965917	-425.4331498
3	10	1.2	Test2	0.0504	6.8961	6.8961	0.3966	0.3966	97.11883637	-97.11883637	26.20132356	32.91330968	44.21450304	47.20602615	6.84318948	20.16	4.26226689	1.414164646	-409.3438942
3	10	1.2	Test3	0.0461	6.3041	6.3041	0.3959	0.3959	105.1419965	-105.1419965	33.56907227	34.84740154	6.79837786	10.51356927	7.40319365	20.16	0.86304291	0.239158562	-460.0791398
4	12	1	Test1	0.0549	7.5096	7.5096	0.3972	0.3972	90.15230491	-90.15230491	20.79315209	28.09241763	50.01633906	50.03970519	7.62952648	20.16	3.75170149	1.585744826	-370.5218403
