{'R_i': 0.015,
 'h_fc': 0.005,
 'R_s': 0.12,
 'R_o': 0.05,
 'R_e': 0.3,
 'phi_C_II': 15,
 'mu_r_II': 1.05,
 'mu_r_IV': 1.05,
 'linear_iron': 1,
 'mu_r_iron': 5000.0,
 'F_M[%]': 35.0}

phi_S[deg]	n_II[]	n_IV[]	h_gap[mm]	B_max[T]	K[]
35.0	2	3	15.000	1.100	1.247
35.0	2	4	15.000	1.100	1.219
35.0	3	3	15.000	1.100	1.241
35.0	3	4	15.000	1.100	1.225
45.0	2	3	15.000	1.100	0.144
45.0	2	4	15.000	1.100	0.164
45.0	3	3	15.000	1.100	0.161
45.0	3	4	15.000	1.100	0.165
55.0	2	3	15.000	1.100	0.171
55.0	2	4	15.000	1.100	0.158
55.0	3	3	15.000	1.100	0.175
55.0	3	4	15.000	1.100	0.072
35.0	2	3	15.250	1.100	1.233
35.0	2	4	15.250	1.100	1.210
35.0	3	3	15.250	1.100	1.232
35.0	3	4	15.250	1.100	1.209
45.0	2	3	15.250	1.100	0.151
45.0	2	4	15.250	1.100	0.153
45.0	3	3	15.250	1.100	0.142
45.0	3	4	15.250	1.100	0.162
55.0	2	3	15.250	1.100	0.164
55.0	2	4	15.250	1.100	0.122
55.0	3	3	15.250	1.100	0.173
55.0	3	4	15.250	1.100	0.066
35.0	2	3	15.500	1.100	1.220
35.0	2	4	15.500	1.100	1.187
35.0	3	3	15.500	1.100	1.218
35.0	3	4	15.500	1.100	1.209
45.0	2	3	15.500	1.100	0.136
45.0	2	4	15.500	1.100	0.159
45.0	3	3	15.500	1.100	0.142
45.0	3	4	15.500	1.100	0.147
55.0	2	3	15.500	1.100	0.164
55.0	2	4	15.500	1.100	0.119
55.0	3	3	15.500	1.100	0.172
55.0	3	4	15.500	1.100	0.066
35.0	2	3	15.750	1.100	1.215
35.0	2	4	15.750	1.100	1.181
35.0	3	3	15.750	1.100	1.208
35.0	3	4	15.750	1.100	1.197
45.0	2	3	15.750	1.100	0.148
45.0	2	4	15.750	1.100	0.144
45.0	3	3	15.750	1.100	0.145
45.0	3	4	15.750	1.100	0.142
55.0	2	3	15.750	1.100	0.160
55.0	2	4	15.750	1.100	0.119
55.0	3	3	15.750	1.100	0.169
55.0	3	4	15.750	1.100	0.064
35.0	2	3	16.000	1.100	1.210
35.0	2	4	16.000	1.100	1.172
35.0	3	3	16.000	1.100	1.211
35.0	3	4	16.000	1.100	1.177
45.0	2	3	16.000	1.100	0.128
45.0	2	4	16.000	1.100	0.147
45.0	3	3	16.000	1.100	0.125
45.0	3	4	16.000	1.100	0.137
55.0	2	3	16.000	1.100	0.156
55.0	2	4	16.000	1.100	0.114
55.0	3	3	16.000	1.100	0.172
55.0	3	4	16.000	1.100	0.063
35.0	2	3	16.250	1.100	1.212
35.0	2	4	16.250	1.100	1.167
35.0	3	3	16.250	1.100	1.203
35.0	3	4	16.250	1.100	1.166
45.0	2	3	16.250	1.100	0.120
45.0	2	4	16.250	1.100	0.136
45.0	3	3	16.250	1.100	0.123
45.0	3	4	16.250	1.100	0.131
55.0	2	3	16.250	1.100	0.161
55.0	2	4	16.250	1.100	0.117
55.0	3	3	16.250	1.100	0.168
55.0	3	4	16.250	1.100	0.060
35.0	2	3	16.500	1.100	1.207
35.0	2	4	16.500	1.100	1.160
35.0	3	3	16.500	1.100	1.204
35.0	3	4	16.500	1.100	1.174
45.0	2	3	16.500	1.100	0.116
45.0	2	4	16.500	1.100	0.129
45.0	3	3	16.500	1.100	0.127
45.0	3	4	16.500	1.100	0.126
55.0	2	3	16.500	1.100	0.159
55.0	2	4	16.500	1.100	0.115
55.0	3	3	16.500	1.100	0.172
55.0	3	4	16.500	1.100	0.058
35.0	2	3	16.750	1.100	1.207
35.0	2	4	16.750	1.100	1.173
35.0	3	3	16.750	1.100	1.202
35.0	3	4	16.750	1.100	1.172
45.0	2	3	16.750	1.100	0.119
45.0	2	4	16.750	1.100	0.124
45.0	3	3	16.750	1.100	0.111
45.0	3	4	16.750	1.100	0.123
55.0	2	3	16.750	1.100	0.162
55.0	2	4	16.750	1.100	0.112
55.0	3	3	16.750	1.100	0.170
55.0	3	4	16.750	1.100	0.058
35.0	2	3	17.000	1.100	1.202
35.0	2	4	17.000	1.100	1.173
35.0	3	3	17.000	1.100	1.205
35.0	3	4	17.000	1.100	1.170
45.0	2	3	17.000	1.100	0.129
45.0	2	4	17.000	1.100	0.131
45.0	3	3	17.000	1.100	0.132
45.0	3	4	17.000	1.100	0.141
55.0	2	3	17.000	1.100	0.162
55.0	2	4	17.000	1.100	0.110
55.0	3	3	17.000	1.100	0.178
55.0	3	4	17.000	1.100	0.056
35.0	2	3	17.250	1.100	1.218
35.0	2	4	17.250	1.100	1.171
35.0	3	3	17.250	1.100	1.210
35.0	3	4	17.250	1.100	1.173
45.0	2	3	17.250	1.100	0.117
45.0	2	4	17.250	1.100	0.115
45.0	3	3	17.250	1.100	0.122
45.0	3	4	17.250	1.100	0.117
55.0	2	3	17.250	1.100	0.168
55.0	2	4	17.250	1.100	0.105
55.0	3	3	17.250	1.100	0.181
55.0	3	4	17.250	1.100	0.054
35.0	2	3	17.500	1.100	1.223
35.0	2	4	17.500	1.100	1.174
35.0	3	3	17.500	1.100	1.216
35.0	3	4	17.500	1.100	1.180
45.0	2	3	17.500	1.100	0.122
45.0	2	4	17.500	1.100	0.139
45.0	3	3	17.500	1.100	0.118
45.0	3	4	17.500	1.100	0.113
55.0	2	3	17.500	1.100	0.174
55.0	2	4	17.500	1.100	0.106
55.0	3	3	17.500	1.100	0.186
55.0	3	4	17.500	1.100	0.057
35.0	2	3	17.750	1.100	1.224
35.0	2	4	17.750	1.100	1.175
35.0	3	3	17.750	1.100	1.215
35.0	3	4	17.750	1.100	1.179
45.0	2	3	17.750	1.100	0.099
45.0	2	4	17.750	1.100	0.109
45.0	3	3	17.750	1.100	0.111
45.0	3	4	17.750	1.100	0.110
55.0	2	3	17.750	1.100	0.183
55.0	2	4	17.750	1.100	0.103
55.0	3	3	17.750	1.100	0.194
55.0	3	4	17.750	1.100	0.057
35.0	2	3	18.000	1.100	1.229
35.0	2	4	18.000	1.100	1.190
35.0	3	3	18.000	1.100	1.223
35.0	3	4	18.000	1.100	1.199
45.0	2	3	18.000	1.100	0.104
45.0	2	4	18.000	1.100	0.106
45.0	3	3	18.000	1.100	0.094
45.0	3	4	18.000	1.100	0.129
55.0	2	3	18.000	1.100	0.187
55.0	2	4	18.000	1.100	0.104
55.0	3	3	18.000	1.100	0.201
55.0	3	4	18.000	1.100	0.056
35.0	2	3	18.250	1.100	1.261
35.0	2	4	18.250	1.100	1.197
35.0	3	3	18.250	1.100	1.235
35.0	3	4	18.250	1.100	1.184
45.0	2	3	18.250	1.100	0.105
45.0	2	4	18.250	1.100	0.118
45.0	3	3	18.250	1.100	0.114
45.0	3	4	18.250	1.100	0.123
55.0	2	3	18.250	1.100	0.195
55.0	2	4	18.250	1.100	0.073
55.0	3	3	18.250	1.100	0.208
55.0	3	4	18.250	1.100	0.055
35.0	2	3	18.500	1.100	1.267
35.0	2	4	18.500	1.100	1.214
35.0	3	3	18.500	1.100	1.248
35.0	3	4	18.500	1.100	1.210
45.0	2	3	18.500	1.100	0.115
45.0	2	4	18.500	1.100	0.100
45.0	3	3	18.500	1.100	0.091
45.0	3	4	18.500	1.100	0.100
55.0	2	3	18.500	1.100	0.207
55.0	2	4	18.500	1.100	0.074
55.0	3	3	18.500	1.100	0.219
55.0	3	4	18.500	1.100	0.056
35.0	2	3	18.750	1.100	1.279
35.0	2	4	18.750	1.100	1.219
35.0	3	3	18.750	1.100	1.248
35.0	3	4	18.750	1.100	1.209
45.0	2	3	18.750	1.100	0.116
45.0	2	4	18.750	1.100	0.114
45.0	3	3	18.750	1.100	0.104
45.0	3	4	18.750	1.100	0.119
55.0	2	3	18.750	1.100	0.215
55.0	2	4	18.750	1.100	0.075
55.0	3	3	18.750	1.100	0.230
55.0	3	4	18.750	1.100	0.058
35.0	2	3	19.000	1.100	1.297
35.0	2	4	19.000	1.100	1.238
35.0	3	3	19.000	1.100	1.264
35.0	3	4	19.000	1.100	1.225
45.0	2	3	19.000	1.100	0.103
45.0	2	4	19.000	1.100	0.108
45.0	3	3	19.000	1.100	0.104
45.0	3	4	19.000	1.100	0.121
55.0	2	3	19.000	1.100	0.221
55.0	2	4	19.000	1.100	0.078
55.0	3	3	19.000	1.100	0.237
55.0	3	4	19.000	1.100	0.060
35.0	2	3	19.250	1.100	1.316
35.0	2	4	19.250	1.100	1.254
35.0	3	3	19.250	1.100	1.271
35.0	3	4	19.250	1.100	1.231
45.0	2	3	19.250	1.100	0.081
45.0	2	4	19.250	1.100	0.123
45.0	3	3	19.250	1.100	0.101
45.0	3	4	19.250	1.100	0.091
55.0	2	3	19.250	1.100	0.236
55.0	2	4	19.250	1.100	0.080
55.0	3	3	19.250	1.100	0.249
55.0	3	4	19.250	1.100	0.062
35.0	2	3	19.500	1.100	1.336
35.0	2	4	19.500	1.100	1.281
35.0	3	3	19.500	1.100	1.298
35.0	3	4	19.500	1.100	1.243
45.0	2	3	19.500	1.100	0.092
45.0	2	4	19.500	1.100	0.094
45.0	3	3	19.500	1.100	0.077
45.0	3	4	19.500	1.100	0.094
55.0	2	3	19.500	1.100	0.243
55.0	2	4	19.500	1.100	0.082
55.0	3	3	19.500	1.100	0.261
55.0	3	4	19.500	1.100	0.065
35.0	2	3	19.750	1.100	1.366
35.0	2	4	19.750	1.100	1.301
35.0	3	3	19.750	1.100	1.312
35.0	3	4	19.750	1.100	1.255
45.0	2	3	19.750	1.100	0.077
45.0	2	4	19.750	1.100	0.120
45.0	3	3	19.750	1.100	0.078
45.0	3	4	19.750	1.100	0.091
55.0	2	3	19.750	1.100	0.260
55.0	2	4	19.750	1.100	0.085
55.0	3	3	19.750	1.100	0.275
55.0	3	4	19.750	1.100	0.071
35.0	2	3	20.000	1.100	1.389
35.0	2	4	20.000	1.100	1.325
35.0	3	3	20.000	1.100	1.321
35.0	3	4	20.000	1.100	1.270
45.0	2	3	20.000	1.100	0.104
45.0	2	4	20.000	1.100	0.103
45.0	3	3	20.000	1.100	0.096
45.0	3	4	20.000	1.100	0.102
55.0	2	3	20.000	1.100	0.268
55.0	2	4	20.000	1.100	0.089
55.0	3	3	20.000	1.100	0.288
55.0	3	4	20.000	1.100	0.074
35.0	2	3	20.250	1.100	1.415
35.0	2	4	20.250	1.100	1.341
35.0	3	3	20.250	1.100	1.333
35.0	3	4	20.250	1.100	1.285
45.0	2	3	20.250	1.100	0.102
45.0	2	4	20.250	1.100	0.098
45.0	3	3	20.250	1.100	0.107
45.0	3	4	20.250	1.100	0.088
55.0	2	3	20.250	1.100	0.286
55.0	2	4	20.250	1.100	0.092
55.0	3	3	20.250	1.100	0.300
55.0	3	4	20.250	1.100	0.078
35.0	2	3	20.500	1.100	1.438
35.0	2	4	20.500	1.100	1.363
35.0	3	3	20.500	1.100	1.350
35.0	3	4	20.500	1.100	1.304
45.0	2	3	20.500	1.100	0.071
45.0	2	4	20.500	1.100	0.084
45.0	3	3	20.500	1.100	0.091
45.0	3	4	20.500	1.100	0.084
55.0	2	3	20.500	1.100	0.295
55.0	2	4	20.500	1.100	0.100
55.0	3	3	20.500	1.100	0.316
55.0	3	4	20.500	1.100	0.085
35.0	2	3	20.750	1.100	1.470
35.0	2	4	20.750	1.100	1.389
35.0	3	3	20.750	1.100	1.368
35.0	3	4	20.750	1.100	1.318
45.0	2	3	20.750	1.100	0.070
45.0	2	4	20.750	1.100	0.081
45.0	3	3	20.750	1.100	0.098
45.0	3	4	20.750	1.100	0.095
55.0	2	3	20.750	1.100	0.315
55.0	2	4	20.750	1.100	0.103
55.0	3	3	20.750	1.100	0.330
55.0	3	4	20.750	1.100	0.093
35.0	2	3	21.000	1.100	1.496
35.0	2	4	21.000	1.100	1.416
35.0	3	3	21.000	1.100	1.387
35.0	3	4	21.000	1.100	1.320
45.0	2	3	21.000	1.100	0.092
45.0	2	4	21.000	1.100	0.077
45.0	3	3	21.000	1.100	0.089
45.0	3	4	21.000	1.100	0.092
55.0	2	3	21.000	1.100	0.328
55.0	2	4	21.000	1.100	0.112
55.0	3	3	21.000	1.100	0.342
55.0	3	4	21.000	1.100	0.102
35.0	2	3	21.250	1.100	1.517
35.0	2	4	21.250	1.100	1.439
35.0	3	3	21.250	1.100	1.404
35.0	3	4	21.250	1.100	1.342
45.0	2	3	21.250	1.100	0.081
45.0	2	4	21.250	1.100	0.086
45.0	3	3	21.250	1.100	0.086
45.0	3	4	21.250	1.100	0.099
55.0	2	3	21.250	1.100	0.344
55.0	2	4	21.250	1.100	0.120
55.0	3	3	21.250	1.100	0.361
55.0	3	4	21.250	1.100	0.113
35.0	2	3	21.500	1.100	1.539
35.0	2	4	21.500	1.100	1.460
35.0	3	3	21.500	1.100	1.421
35.0	3	4	21.500	1.100	1.361
45.0	2	3	21.500	1.100	0.063
45.0	2	4	21.500	1.100	0.076
45.0	3	3	21.500	1.100	0.088
45.0	3	4	21.500	1.100	0.089
55.0	2	3	21.500	1.100	0.363
55.0	2	4	21.500	1.100	0.130
55.0	3	3	21.500	1.100	0.372
45.0	3	4	22.000	1.100	0.074
55.0	2	3	22.000	1.100	0.396
55.0	2	4	22.000	1.100	0.146
55.0	3	3	22.000	1.100	0.411
55.0	3	4	22.000	1.100	0.144
35.0	2	3	22.250	1.100	1.617
35.0	2	4	22.250	1.100	1.532
35.0	3	3	22.250	1.100	1.481
35.0	3	4	22.250	1.100	1.428
45.0	2	3	22.250	1.100	0.067
45.0	2	4	22.250	1.100	0.071
45.0	3	3	22.250	1.100	0.061
45.0	3	4	22.250	1.100	0.088
55.0	2	3	22.250	1.100	0.419
55.0	2	4	22.250	1.100	0.159
55.0	3	3	22.250	1.100	0.422
55.0	3	4	22.250	1.100	0.155
35.0	2	3	22.500	1.100	1.632
35.0	2	4	22.500	1.100	1.562
35.0	3	3	22.500	1.100	1.500
35.0	3	4	22.500	1.100	1.445
45.0	2	3	22.500	1.100	0.074
45.0	2	4	22.500	1.100	0.075
45.0	3	3	22.500	1.100	0.066
45.0	3	4	22.500	1.100	0.086
55.0	2	3	22.500	1.100	0.433
55.0	2	4	22.500	1.100	0.171
55.0	3	3	22.500	1.100	0.439
55.0	3	4	22.500	1.100	0.172
35.0	2	3	22.750	1.100	1.664
35.0	2	4	22.750	1.100	1.583
35.0	3	3	22.750	1.100	1.527
35.0	3	4	22.750	1.100	1.471
45.0	2	3	22.750	1.100	0.059
45.0	2	4	22.750	1.100	0.074
45.0	3	3	22.750	1.100	0.057
45.0	3	4	22.750	1.100	0.067
55.0	2	3	22.750	1.100	0.454
55.0	2	4	22.750	1.100	0.183
55.0	3	3	22.750	1.100	0.461
55.0	3	4	22.750	1.100	0.183
35.0	2	3	23.000	1.100	1.710
35.0	2	4	23.000	1.100	1.622
35.0	3	3	23.000	1.100	1.550
35.0	3	4	23.000	1.100	1.487
45.0	2	3	23.000	1.100	0.070
45.0	2	4	23.000	1.100	0.076
45.0	3	3	23.000	1.100	0.069
45.0	3	4	23.000	1.100	0.077
55.0	2	3	23.000	1.100	0.477
55.0	2	4	23.000	1.100	0.195
55.0	3	3	23.000	1.100	0.484
55.0	3	4	23.000	1.100	0.196
35.0	2	3	23.250	1.100	1.742
35.0	2	4	23.250	1.100	1.651
35.0	3	3	23.250	1.100	1.582
35.0	3	4	23.250	1.100	1.524
45.0	2	3	23.250	1.100	0.081
45.0	2	4	23.250	1.100	0.064
45.0	3	3	23.250	1.100	0.057
45.0	3	4	23.250	1.100	0.071
55.0	2	3	23.250	1.100	0.483
55.0	2	4	23.250	1.100	0.207
55.0	3	3	23.250	1.100	0.497
55.0	3	4	23.250	1.100	0.212
35.0	2	3	23.500	1.100	1.765
35.0	2	4	23.500	1.100	1.684
35.0	3	3	23.500	1.100	1.608
35.0	3	4	23.500	1.100	1.555
45.0	2	3	23.500	1.100	0.073
45.0	2	4	23.500	1.100	0.070
45.0	3	3	23.500	1.100	0.068
45.0	3	4	23.500	1.100	0.062
55.0	2	3	23.500	1.100	0.508
55.0	2	4	23.500	1.100	0.222
55.0	3	3	23.500	1.100	0.511
55.0	3	4	23.500	1.100	0.225
35.0	2	3	23.750	1.100	1.801
35.0	2	4	23.750	1.100	1.716
35.0	3	3	23.750	1.100	1.636
35.0	3	4	23.750	1.100	1.582
45.0	2	3	23.750	1.100	0.066
45.0	2	4	23.750	1.100	0.069
45.0	3	3	23.750	1.100	0.066
45.0	3	4	23.750	1.100	0.077
55.0	2	3	23.750	1.100	0.536
55.0	2	4	23.750	1.100	0.242
55.0	3	3	23.750	1.100	0.533
55.0	3	4	23.750	1.100	0.245
35.0	2	3	24.000	1.100	1.842
35.0	2	4	24.000	1.100	1.760
35.0	3	3	24.000	1.100	1.682
35.0	3	4	24.000	1.100	1.615
45.0	2	3	24.000	1.100	0.078
45.0	2	4	24.000	1.100	0.071
45.0	3	3	24.000	1.100	0.072
45.0	3	4	24.000	1.100	0.064
55.0	2	3	24.000	1.100	0.558
55.0	2	4	24.000	1.100	0.256
55.0	3	3	24.000	1.100	0.565
55.0	3	4	24.000	1.100	0.265
35.0	2	3	24.250	1.100	1.879
35.0	2	4	24.250	1.100	1.794
35.0	3	3	24.250	1.100	1.714
35.0	3	4	24.250	1.100	1.652
45.0	2	3	24.250	1.100	0.078
45.0	2	4	24.250	1.100	0.080
45.0	3	3	24.250	1.100	0.076
45.0	3	4	24.250	1.100	0.079
55.0	2	3	24.250	1.100	0.577
55.0	2	4	24.250	1.100	0.282
55.0	3	3	24.250	1.100	0.583
55.0	3	4	24.250	1.100	0.280
35.0	2	3	24.500	1.100	1.924
35.0	2	4	24.500	1.100	1.824
35.0	3	3	24.500	1.100	1.751
35.0	3	4	24.500	1.100	1.666
45.0	2	3	24.500	1.100	0.089
45.0	2	4	24.500	1.100	0.082
45.0	3	3	24.500	1.100	0.085
45.0	3	4	24.500	1.100	0.074
55.0	2	3	24.500	1.100	0.600
55.0	2	4	24.500	1.100	0.295
55.0	3	3	24.500	1.100	0.602
55.0	3	4	24.500	1.100	0.298
35.0	2	3	24.750	1.100	1.963
35.0	2	4	24.750	1.100	1.859
35.0	3	3	24.750	1.100	1.785
35.0	3	4	24.750	1.100	1.705
45.0	2	3	24.750	1.100	0.103
45.0	2	4	24.750	1.100	0.083
45.0	3	3	24.750	1.100	0.098
45.0	3	4	24.750	1.100	0.087
55.0	2	3	24.750	1.100	0.617
55.0	2	4	24.750	1.100	0.313
55.0	3	3	24.750	1.100	0.630
55.0	3	4	24.750	1.100	0.314
35.0	2	3	25.000	1.100	2.003
35.0	2	4	25.000	1.100	1.909
35.0	3	3	25.000	1.100	1.836
35.0	3	4	25.000	1.100	1.735
45.0	2	3	25.000	1.100	0.106
45.0	2	4	25.000	1.100	0.086
45.0	3	3	25.000	1.100	0.119
45.0	3	4	25.000	1.100	0.089
55.0	2	3	25.000	1.100	0.644
55.0	2	4	25.000	1.100	0.331
55.0	3	3	25.000	1.100	0.647
55.0	3	4	25.000	1.100	0.334
35.0	2	3	15.000	1.105	1.256
35.0	2	4	15.000	1.105	1.226
