{'R_i': 0.015,
 'h_fc': 0.005,
 'R_s': 0.11,
 'R_o': 0.05,
 'R_e': 0.3,
 'n_II': 2,
 'n_IV': 3,
 'phi_C_II': 15,
 'mu_r_II': 1.05,
 'mu_r_IV': 1.05,
 'linear_iron': 1,
 'mu_r_iron': 5000.0,
 'F_M[%]': 35.0}

phi_S[deg]	h_gap[mm]	B_max[T]	K[]
35.0	15.000	1.100	1.495
45.0	15.000	1.100	0.144
55.0	15.000	1.100	0.172
35.0	16.000	1.100	1.553
45.0	16.000	1.100	0.138
55.0	16.000	1.100	0.206
35.0	17.000	1.100	1.618
45.0	17.000	1.100	0.114
55.0	17.000	1.100	0.252
35.0	18.000	1.100	1.709
45.0	18.000	1.100	0.098
55.0	18.000	1.100	0.310
35.0	19.000	1.100	1.840
45.0	19.000	1.100	0.086
55.0	19.000	1.100	0.384
35.0	20.000	1.100	1.992
45.0	20.000	1.100	0.095
55.0	20.000	1.100	0.469
35.0	21.000	1.100	2.157
45.0	21.000	1.100	0.131
55.0	21.000	1.100	0.568
35.0	22.000	1.100	2.336
45.0	22.000	1.100	0.191
55.0	22.000	1.100	0.687
35.0	23.000	1.100	2.744
45.0	23.000	1.100	0.282
55.0	23.000	1.100	0.804
35.0	24.000	1.100	2.894
45.0	24.000	1.100	0.417
55.0	24.000	1.100	0.266
35.0	25.000	1.100	3.092
45.0	25.000	1.100	0.582
55.0	25.000	1.100	0.399
35.0	15.000	1.110	1.537
45.0	15.000	1.110	0.142
55.0	15.000	1.110	0.181
35.0	16.000	1.110	1.602
45.0	16.000	1.110	0.136
55.0	16.000	1.110	0.220
35.0	17.000	1.110	1.669
45.0	17.000	1.110	0.112
55.0	17.000	1.110	0.270
35.0	18.000	1.110	1.767
45.0	18.000	1.110	0.097
55.0	18.000	1.110	0.333
35.0	19.000	1.110	1.904
45.0	19.000	1.110	0.088
55.0	19.000	1.110	0.411
35.0	20.000	1.110	2.062
45.0	20.000	1.110	0.106
55.0	20.000	1.110	0.500
35.0	21.000	1.110	2.232
45.0	21.000	1.110	0.149
55.0	21.000	1.110	0.602
35.0	22.000	1.110	2.654
45.0	22.000	1.110	0.221
55.0	22.000	1.110	0.723
35.0	23.000	1.110	2.813
45.0	23.000	1.110	0.320
55.0	23.000	1.110	0.841
35.0	24.000	1.110	2.967
45.0	24.000	1.110	0.466
55.0	24.000	1.110	0.303
35.0	25.000	1.110	3.171
45.0	25.000	1.110	0.640
55.0	25.000	1.110	0.444
35.0	15.000	1.120	1.581
45.0	15.000	1.120	0.140
55.0	15.000	1.120	0.193
35.0	16.000	1.120	1.651
45.0	16.000	1.120	0.135
55.0	16.000	1.120	0.236
