{'R_i': 0.015,
 'h_fc': 0.005,
 'R_o': 0.04,
 'R_e': 0.3,
 'n_II': 2,
 'n_IV': 4,
 'phi_C_II': 15,
 'mu_r_II': 1.05,
 'mu_r_IV': 1.05,
 'linear_iron': 1,
 'mu_r_iron': 5000.0,
 'B_rem_II_1': 1.3999999999999999,
 'B_rem_II_2': 1.3999999999999999,
 'B_rem_IV_1': 1.3999999999999999,
 'B_rem_IV_2': 1.3999999999999999,
 'B_rem_IV_3': 1.3999999999999999,
 'B_rem_IV_4': 1.3999999999999999,
 'F_M[%]': 35.0}

phi_S[deg]	h_gap[mm]	B_max[T]	R_s[mm]	K[]
45.0	15.000	1.000	90.000	0.001127
55.0	15.000	1.000	90.000	0.000759
45.0	16.000	1.000	90.000	0.001080
55.0	16.000	1.000	90.000	0.000988
45.0	17.000	1.000	90.000	0.001566
55.0	17.000	1.000	90.000	0.001620
45.0	18.000	1.000	95.000	0.001307
55.0	18.000	1.000	95.000	0.001387
45.0	19.000	1.000	95.000	0.001356
55.0	19.000	1.000	100.000	0.001340
45.0	20.000	1.000	95.000	0.001688
55.0	20.000	1.000	100.000	0.001909
45.0	21.000	1.000	100.000	0.001166
55.0	21.000	1.000	105.000	0.001803
45.0	22.000	1.000	100.000	0.001785
55.0	22.000	1.000	110.000	0.001787
45.0	23.000	1.000	105.000	0.001428
55.0	23.000	1.000	115.000	0.001972
45.0	24.000	1.000	110.000	0.001359
55.0	24.000	1.000	125.000	0.001871
45.0	25.000	1.000	110.000	0.001677
55.0	25.000	1.000	150.000	0.002185
45.0	15.000	1.010	90.000	0.001132
55.0	15.000	1.010	90.000	0.000753
45.0	16.000	1.010	90.000	0.001137
55.0	16.000	1.010	90.000	0.001093
45.0	17.000	1.010	90.000	0.001615
55.0	17.000	1.010	90.000	0.001849
45.0	18.000	1.010	95.000	0.001451
55.0	18.000	1.010	95.000	0.001567
45.0	19.000	1.010	95.000	0.001512
55.0	19.000	1.010	100.000	0.001447
45.0	20.000	1.010	95.000	0.001938
55.0	20.000	1.010	105.000	0.001423
45.0	21.000	1.010	100.000	0.001254
55.0	21.000	1.010	105.000	0.001975
45.0	22.000	1.010	105.000	0.001255
55.0	22.000	1.010	110.000	0.001947
45.0	23.000	1.010	105.000	0.001547
55.0	23.000	1.010	125.000	0.001848
45.0	24.000	1.010	110.000	0.001399
55.0	24.000	1.010	125.000	0.001965
45.0	25.000	1.010	110.000	0.001843
55.0	25.000	1.010	150.000	0.002284
45.0	15.000	1.020	90.000	0.001109
55.0	15.000	1.020	90.000	0.000766
45.0	16.000	1.020	90.000	0.001368
55.0	16.000	1.020	90.000	0.001231
45.0	17.000	1.020	90.000	0.001706
55.0	17.000	1.020	95.000	0.001121
45.0	18.000	1.020	95.000	0.001471
55.0	18.000	1.020	95.000	0.001760
45.0	19.000	1.020	95.000	0.001690
55.0	19.000	1.020	100.000	0.001625
45.0	20.000	1.020	100.000	0.001085
55.0	20.000	1.020	105.000	0.001557
45.0	21.000	1.020	100.000	0.001392
55.0	21.000	1.020	110.000	0.001593
45.0	22.000	1.020	105.000	0.001284
55.0	22.000	1.020	115.000	0.001715
45.0	23.000	1.020	105.000	0.001712
55.0	23.000	1.020	120.000	0.001942
45.0	24.000	1.020	110.000	0.001458
55.0	24.000	1.020	150.000	0.001909
45.0	25.000	1.020	115.000	0.001579
55.0	25.000	1.020	150.000	0.006908
45.0	15.000	1.030	90.000	0.001099
55.0	15.000	1.030	90.000	0.000862
45.0	16.000	1.030	90.000	0.001460
55.0	16.000	1.030	90.000	0.001385
45.0	17.000	1.030	90.000	0.001822
55.0	17.000	1.030	95.000	0.001249
45.0	18.000	1.030	95.000	0.001433
55.0	18.000	1.030	95.000	0.001968
45.0	19.000	1.030	95.000	0.001901
55.0	19.000	1.030	100.000	0.001790
45.0	20.000	1.030	100.000	0.001210
55.0	20.000	1.030	105.000	0.001696
45.0	21.000	1.030	100.000	0.001568
55.0	21.000	1.030	110.000	0.001730
45.0	22.000	1.030	105.000	0.001364
55.0	22.000	1.030	115.000	0.001926
45.0	23.000	1.030	105.000	0.001934
55.0	23.000	1.030	125.000	0.001915
45.0	24.000	1.030	110.000	0.001471
55.0	24.000	1.030	150.000	0.006232
45.0	25.000	1.030	115.000	0.001609
55.0	25.000	1.030	150.000	0.006714
45.0	15.000	1.040	90.000	0.001153
55.0	15.000	1.040	90.000	0.000941
45.0	16.000	1.040	90.000	0.001564
55.0	16.000	1.040	90.000	0.001563
45.0	17.000	1.040	90.000	0.001980
55.0	17.000	1.040	95.000	0.001433
45.0	18.000	1.040	95.000	0.001582
55.0	18.000	1.040	100.000	0.001416
45.0	19.000	1.040	100.000	0.001297
55.0	19.000	1.040	105.000	0.001482
45.0	20.000	1.040	100.000	0.001350
55.0	20.000	1.040	105.000	0.001864
45.0	21.000	1.040	100.000	0.001786
55.0	21.000	1.040	110.000	0.001895
45.0	22.000	1.040	105.000	0.001457
55.0	22.000	1.040	115.000	0.001938
45.0	23.000	1.040	110.000	0.001371
55.0	23.000	1.040	125.000	0.001892
45.0	24.000	1.040	110.000	0.001615
55.0	24.000	1.040	145.000	0.001973
45.0	25.000	1.040	115.000	0.001690
55.0	25.000	1.040	150.000	0.002263
45.0	15.000	1.050	90.000	0.001208
55.0	15.000	1.050	90.000	0.001078
45.0	16.000	1.050	90.000	0.001726
55.0	16.000	1.050	90.000	0.001762
45.0	17.000	1.050	95.000	0.001391
55.0	17.000	1.050	95.000	0.001619
45.0	18.000	1.050	95.000	0.001670
55.0	18.000	1.050	100.000	0.001612
45.0	19.000	1.050	100.000	0.001481
55.0	19.000	1.050	90.000	0.001688
45.0	20.000	1.050	100.000	0.001515
55.0	20.000	1.050	110.000	0.001534
45.0	21.000	1.050	105.000	0.001227
55.0	21.000	1.050	115.000	0.001651
45.0	22.000	1.050	105.000	0.001621
55.0	22.000	1.050	120.000	0.001911
45.0	23.000	1.050	110.000	0.001453
55.0	23.000	1.050	135.000	0.001828
45.0	24.000	1.050	110.000	0.001803
55.0	24.000	1.050	150.000	0.001917
45.0	25.000	1.050	115.000	0.001793
55.0	25.000	1.050	150.000	0.002352
45.0	15.000	1.060	90.000	0.001622
55.0	15.000	1.060	90.000	0.001199
45.0	16.000	1.060	90.000	0.001974
55.0	16.000	1.060	90.000	0.001997
45.0	17.000	1.060	95.000	0.001531
55.0	17.000	1.060	95.000	0.001800
45.0	18.000	1.060	95.000	0.001826
55.0	18.000	1.060	100.000	0.001770
45.0	19.000	1.060	100.000	0.001451
55.0	19.000	1.060	105.000	0.001740
45.0	20.000	1.060	100.000	0.001730
55.0	20.000	1.060	110.000	0.001694
45.0	21.000	1.060	105.000	0.001326
55.0	21.000	1.060	115.000	0.001711
45.0	22.000	1.060	105.000	0.001836
55.0	22.000	1.060	125.000	0.001780
45.0	23.000	1.060	110.000	0.001572
55.0	23.000	1.060	130.000	0.001915
45.0	24.000	1.060	115.000	0.001409
55.0	24.000	1.060	150.000	0.001926
45.0	25.000	1.060	115.000	0.001852
55.0	25.000	1.060	150.000	0.002426
45.0	15.000	1.070	90.000	0.001444
55.0	15.000	1.070	90.000	0.001353
45.0	16.000	1.070	95.000	0.001228
55.0	16.000	1.070	95.000	0.001411
45.0	17.000	1.070	95.000	0.001513
55.0	17.000	1.070	100.000	0.001455
45.0	18.000	1.070	100.000	0.001095
55.0	18.000	1.070	100.000	0.001936
45.0	19.000	1.070	100.000	0.001593
55.0	19.000	1.070	105.000	0.001908
45.0	20.000	1.070	100.000	0.001974
55.0	20.000	1.070	110.000	0.001861
45.0	21.000	1.070	105.000	0.001451
55.0	21.000	1.070	115.000	0.001869
45.0	22.000	1.070	110.000	0.001310
55.0	22.000	1.070	120.000	0.001997
45.0	23.000	1.070	110.000	0.001728
55.0	23.000	1.070	130.000	0.001985
45.0	24.000	1.070	115.000	0.001455
55.0	24.000	1.070	150.000	0.002038
45.0	25.000	1.070	120.000	0.001637
55.0	25.000	1.070	150.000	0.002431
45.0	15.000	1.080	90.000	0.001766
55.0	15.000	1.080	90.000	0.001541
45.0	16.000	1.080	95.000	0.001260
55.0	16.000	1.080	95.000	0.001562
45.0	17.000	1.080	95.000	0.001624
55.0	17.000	1.080	100.000	0.001649
45.0	18.000	1.080	100.000	0.001205
55.0	18.000	1.080	90.000	0.001335
45.0	19.000	1.080	100.000	0.001778
55.0	19.000	1.080	110.000	0.001485
45.0	20.000	1.080	105.000	0.001182
55.0	20.000	1.080	95.000	0.001729
45.0	21.000	1.080	105.000	0.001610
55.0	21.000	1.080	120.000	0.001698
45.0	22.000	1.080	110.000	0.001425
55.0	22.000	1.080	125.000	0.001896
45.0	23.000	1.080	110.000	0.001898
55.0	23.000	1.080	135.000	0.001873
45.0	24.000	1.080	115.000	0.001611
55.0	24.000	1.080	150.000	0.002085
45.0	25.000	1.080	120.000	0.001695
55.0	25.000	1.080	150.000	0.002491
45.0	15.000	1.090	90.000	0.001944
55.0	15.000	1.090	90.000	0.001719
45.0	16.000	1.090	95.000	0.001348
55.0	16.000	1.090	95.000	0.001729
45.0	17.000	1.090	95.000	0.001846
55.0	17.000	1.090	100.000	0.001803
45.0	18.000	1.090	100.000	0.001351
55.0	18.000	1.090	90.000	0.001592
45.0	19.000	1.090	100.000	0.001976
55.0	19.000	1.090	110.000	0.001588
45.0	20.000	1.090	105.000	0.001295
55.0	20.000	1.090	115.000	0.001706
45.0	21.000	1.090	105.000	0.001828
55.0	21.000	1.090	120.000	0.001783
45.0	22.000	1.090	110.000	0.001525
55.0	22.000	1.090	125.000	0.001906
45.0	23.000	1.090	115.000	0.001379
55.0	23.000	1.090	135.000	0.001971
45.0	24.000	1.090	115.000	0.001695
55.0	24.000	1.090	150.000	0.002090
45.0	25.000	1.090	120.000	0.001655
55.0	25.000	1.090	150.000	0.002512
45.0	15.000	1.100	95.000	0.001143
55.0	15.000	1.100	90.000	0.001953
45.0	16.000	1.100	95.000	0.001625
55.0	16.000	1.100	95.000	0.001904
45.0	17.000	1.100	95.000	0.001977
55.0	17.000	1.100	100.000	0.001963
45.0	18.000	1.100	100.000	0.001357
55.0	18.000	1.100	90.000	0.001921
45.0	19.000	1.100	105.000	0.001322
55.0	19.000	1.100	110.000	0.001737
45.0	20.000	1.100	105.000	0.001440
55.0	20.000	1.100	115.000	0.001889
45.0	21.000	1.100	110.000	0.001184
55.0	21.000	1.100	120.000	0.001954
45.0	22.000	1.100	110.000	0.001711
55.0	22.000	1.100	130.000	0.001972
45.0	23.000	1.100	115.000	0.001453
55.0	23.000	1.100	140.000	0.001935
45.0	24.000	1.100	115.000	0.001975
55.0	24.000	1.100	150.000	0.002153
45.0	25.000	1.100	120.000	0.001912
55.0	25.000	1.100	150.000	0.002618
45.0	15.000	1.110	95.000	0.001173
