Case -H_Brem_II_max[A/m] -H_Brem_IV_max[A/m] A_gap[m2] A_magnet[m2] B_high[T] B_low[T] B_rem_II[T] B_rem_IV[T] H_c_II H_c_IV R_c[m] R_e[m] R_g[m] R_i[m] R_o[m] R_s[m] alpha_rem_II_1[deg] alpha_rem_II_2[deg] alpha_rem_II_3[deg] alpha_rem_IV_1[deg] alpha_rem_IV_2[deg] alpha_rem_IV_3[deg] delta_phi_S_II[deg] delta_phi_S_IV[deg] h_fc[m] h_gap[m] mu_r_II mu_r_IV n_II n_IV phi_S_II[deg] phi_S_IV[deg]
0 1732031.4384299999 1332823.307139 0.007304000000000001 0.026782 0.434777 0.01701 1.47 1.47 850000.0 850000.0 0.16 2.0 0.085 0.015 0.07 0.14 231.40102689353512 322.0353021522771 240.7273976849348 199.03503528272893 126.41326780266924 169.7887467007875 15.0 15.0 0.02 0.015 1.05 1.05 3 3 45.0 45.0
1 1352963.6179520001 1507291.22117 0.007304000000000001 0.029783999999999998 0.626688 0.023815 1.47 1.47 850000.0 850000.0 0.166666666667 2.0 0.085 0.015 0.07 0.146666666667 281.6619056064173 330.75461910306944 304.03249368483404 349.31610791505346 310.5864201648972 190.06275167695495 15.0 15.0 0.02 0.015 1.05 1.05 3 3 45.0 45.0
2 1212412.824524 1687466.6242520001 0.007304000000000001 0.032926 0.817475 0.027757 1.47 1.47 850000.0 850000.0 0.173333333333 2.0 0.085 0.015 0.07 0.153333333333 166.01720418350803 30.06039167128097 307.6146768165599 255.81552219977158 80.78314052652506 51.644095604103505 15.0 15.0 0.02 0.015 1.05 1.05 3 3 45.0 45.0
3 1398153.061212 1819481.793425 0.007304000000000001 0.036206999999999996 0.825297 0.016768 1.47 1.47 850000.0 850000.0 0.18 2.0 0.085 0.015 0.07 0.16 67.92333999715548 190.92506978002118 171.91507109718398 107.10402834916955 246.11562068712985 340.6735027450681 15.0 15.0 0.02 0.015 1.05 1.05 3 3 45.0 45.0
4 2399305.593017 1728017.1665919998 0.007304000000000001 0.039628 0.551613 0.037098 1.47 1.47 850000.0 850000.0 0.18666666666700002 2.0 0.085 0.015 0.07 0.166666666667 316.3048996405108 50.51926158872303 116.74100538756649 239.63618653835013 61.80188649409389 16.568450954591295 15.0 15.0 0.02 0.015 1.05 1.05 3 3 45.0 45.0
5 2274765.404015 1548129.034553 0.007304000000000001 0.043188 0.730827 0.056086000000000004 1.47 1.47 850000.0 850000.0 0.19333333333299998 2.0 0.085 0.015 0.07 0.173333333333 329.9450483165217 12.112149984920256 157.68977366559162 357.5108174143869 167.66426149312343 106.87786700572654 15.0 15.0 0.02 0.015 1.05 1.05 3 3 45.0 45.0
6 1576837.0368569999 1827751.7639189998 0.007304000000000001 0.046888 0.780864 0.013758000000000001 1.47 1.47 850000.0 850000.0 0.2 2.0 0.085 0.015 0.07 0.18 78.25430445068856 304.3062458944786 68.16498664432751 318.8819648217119 113.57216127502971 177.12366548761003 15.0 15.0 0.02 0.015 1.05 1.05 3 3 45.0 45.0
7 1981920.028536 1380039.322502 0.007304000000000001 0.050727999999999995 0.669978 0.087867 1.47 1.47 850000.0 850000.0 0.206666666667 2.0 0.085 0.015 0.07 0.18666666666700002 195.5348328517976 279.2155682078427 52.635344905041215 162.9839047774066 191.59410338557984 192.72271143821706 15.0 15.0 0.02 0.015 1.05 1.05 3 3 45.0 45.0
8 1419360.342496 1225295.000971 0.007304000000000001 0.054707000000000006 0.5667810000000001 0.040534 1.47 1.47 850000.0 850000.0 0.21333333333299997 2.0 0.085 0.015 0.07 0.19333333333299998 233.8623418587259 181.0152734479863 43.71198201944355 109.85995841672556 19.1511324192855 13.626831798760447 15.0 15.0 0.02 0.015 1.05 1.05 3 3 45.0 45.0
9 1667864.082019 1393986.322521 0.007304000000000001 0.058825999999999996 0.47481999999999996 0.010873 1.47 1.47 850000.0 850000.0 0.22 2.0 0.085 0.015 0.07 0.2 161.4243954026414 1.4754023397630167 76.28672053598017 342.98611325132856 6.857137248065071 329.4866503330751 15.0 15.0 0.02 0.015 1.05 1.05 3 3 45.0 45.0
10 1978457.2963509997 1539800.864709 0.012959 0.023955 0.47488500000000006 0.010853 1.47 1.47 850000.0 850000.0 0.16 2.0 0.095 0.015 0.07 0.14 318.9177017617679 313.9148602704244 108.98768296942734 270.42264601818425 267.8938439711185 143.6560673451796 15.0 15.0 0.02 0.025 1.05 1.05 3 3 45.0 45.0
