Case -H_Brem_II_max[A/m] -H_Brem_IV_max[A/m] A_gap[m2] A_magnet[m2] B_high[T] B_low[T] B_rem_IV[T] R_c[m] R_e[m] R_g[m] R_i[m] R_o[m] R_s[m] alpha_rem_IV_1[deg] alpha_rem_IV_2[deg] alpha_rem_IV_3[deg] delta_phi_S_IV[deg] h_fc[m] h_gap[m] linear_iron mu_r_IV mu_r_iron n_II n_IV phi_C_II[deg] phi_S_II[deg] phi_S_IV[deg]
0 -inf 1401133.553585 0.0062829999999999995 0.010053 1.014398 0.081535 1.4 0.12 2.0 0.06 0.015 0.04 0.1 15.0 45.0 75.0 15.0 0.02 0.02 1.0 1.05 1000.0 0.0 3 0.0 0.0 45.0
1 -inf 1412088.943187 0.0062829999999999995 0.011847 1.0771979999999999 0.085493 1.4 0.125555555556 2.0 0.06 0.015 0.04 0.105555555556 15.0 45.0 75.0 15.0 0.02 0.02 1.0 1.05 1000.0 0.0 3 0.0 0.0 45.0
2 -inf 1469925.0727879999 0.0062829999999999995 0.013738 1.133029 0.089053 1.4 0.131111111111 2.0 0.06 0.015 0.04 0.111111111111 15.0 45.0 75.0 15.0 0.02 0.02 1.0 1.05 1000.0 0.0 3 0.0 0.0 45.0
3 -inf 1500888.356438 0.0062829999999999995 0.015725 1.183147 0.092139 1.4 0.136666666667 2.0 0.06 0.015 0.04 0.116666666667 15.0 45.0 75.0 15.0 0.02 0.02 1.0 1.05 1000.0 0.0 3 0.0 0.0 45.0
4 -inf 1551638.023166 0.0062829999999999995 0.01781 1.228329 0.095029 1.4 0.142222222222 2.0 0.06 0.015 0.04 0.12222222222200001 15.0 45.0 75.0 15.0 0.02 0.02 1.0 1.05 1000.0 0.0 3 0.0 0.0 45.0
5 -inf 1563694.270311 0.0062829999999999995 0.019992 1.269327 0.097566 1.4 0.147777777778 2.0 0.06 0.015 0.04 0.127777777778 15.0 45.0 75.0 15.0 0.02 0.02 1.0 1.05 1000.0 0.0 3 0.0 0.0 45.0
6 -inf 1584413.5535620002 0.0062829999999999995 0.022269999999999998 1.306859 0.099865 1.4 0.153333333333 2.0 0.06 0.015 0.04 0.133333333333 15.0 45.0 75.0 15.0 0.02 0.02 1.0 1.05 1000.0 0.0 3 0.0 0.0 45.0
7 -inf 1605867.687458 0.0062829999999999995 0.024646 1.341053 0.10206 1.4 0.15888888888900002 2.0 0.06 0.015 0.04 0.138888888889 15.0 45.0 75.0 15.0 0.02 0.02 1.0 1.05 1000.0 0.0 3 0.0 0.0 45.0
8 -inf 1615369.635666 0.0062829999999999995 0.027119 1.372832 0.10402 1.4 0.164444444444 2.0 0.06 0.015 0.04 0.14444444444399998 15.0 45.0 75.0 15.0 0.02 0.02 1.0 1.05 1000.0 0.0 3 0.0 0.0 45.0
9 -inf 1626978.167473 0.0062829999999999995 0.029688 1.402043 0.105815 1.4 0.17 2.0 0.06 0.015 0.04 0.15 15.0 45.0 75.0 15.0 0.02 0.02 1.0 1.05 1000.0 0.0 3 0.0 0.0 45.0
10 -inf 1388408.127794 0.010367 0.008011 0.717796 0.094273 1.4 0.12 2.0 0.07 0.015 0.04 0.1 15.0 45.0 75.0 15.0 0.02 0.03 1.0 1.05 1000.0 0.0 3 0.0 0.0 45.0
11 -inf 1408712.845642 0.010367 0.009805 0.7915810000000001 0.102246 1.4 0.125555555556 2.0 0.07 0.015 0.04 0.105555555556 15.0 45.0 75.0 15.0 0.02 0.03 1.0 1.05 1000.0 0.0 3 0.0 0.0 45.0
12 -inf 1473713.9927110001 0.010367 0.011696 0.856489 0.109177 1.4 0.131111111111 2.0 0.07 0.015 0.04 0.111111111111 15.0 45.0 75.0 15.0 0.02 0.03 1.0 1.05 1000.0 0.0 3 0.0 0.0 45.0
13 -inf 1559969.424304 0.010367 0.013683 0.914163 0.11528900000000002 1.4 0.136666666667 2.0 0.07 0.015 0.04 0.116666666667 15.0 45.0 75.0 15.0 0.02 0.03 1.0 1.05 1000.0 0.0 3 0.0 0.0 45.0
14 -inf 1547459.850682 0.010367 0.015768 0.966134 0.120701 1.4 0.142222222222 2.0 0.07 0.015 0.04 0.12222222222200001 15.0 45.0 75.0 15.0 0.02 0.03 1.0 1.05 1000.0 0.0 3 0.0 0.0 45.0
15 -inf 1628861.357465 0.010367 0.01795 1.012433 0.125655 1.4 0.147777777778 2.0 0.07 0.015 0.04 0.127777777778 15.0 45.0 75.0 15.0 0.02 0.03 1.0 1.05 1000.0 0.0 3 0.0 0.0 45.0
16 -inf 1676654.573816 0.010367 0.020228 1.054706 0.13011 1.4 0.153333333333 2.0 0.07 0.015 0.04 0.133333333333 15.0 45.0 75.0 15.0 0.02 0.03 1.0 1.05 1000.0 0.0 3 0.0 0.0 45.0
17 -inf 1650867.07572 0.010367 0.022604 1.0932469999999999 0.134172 1.4 0.15888888888900002 2.0 0.07 0.015 0.04 0.138888888889 15.0 45.0 75.0 15.0 0.02 0.03 1.0 1.05 1000.0 0.0 3 0.0 0.0 45.0
18 -inf 1744703.6349330002 0.010367 0.025077000000000002 1.128676 0.13786400000000001 1.4 0.164444444444 2.0 0.07 0.015 0.04 0.14444444444399998 15.0 45.0 75.0 15.0 0.02 0.03 1.0 1.05 1000.0 0.0 3 0.0 0.0 45.0
19 -inf 1772607.7932669998 0.010367 0.027645999999999997 1.161076 0.141318 1.4 0.17 2.0 0.07 0.015 0.04 0.15 15.0 45.0 75.0 15.0 0.02 0.03 1.0 1.05 1000.0 0.0 3 0.0 0.0 45.0
20 -inf 1200236.5327120002 0.007540000000000001 0.008011 0.8645209999999999 0.056027 1.4 0.12 2.0 0.07 0.015 0.05 0.1 15.0 45.0 75.0 15.0 0.02 0.02 1.0 1.05 1000.0 0.0 3 0.0 0.0 45.0
21 -inf 1227583.358263 0.007540000000000001 0.009805 0.944089 0.059833000000000004 1.4 0.125555555556 2.0 0.07 0.015 0.05 0.105555555556 15.0 45.0 75.0 15.0 0.02 0.02 1.0 1.05 1000.0 0.0 3 0.0 0.0 45.0
22 -inf 1276492.416707 0.007540000000000001 0.011696 1.014074 0.063011 1.4 0.131111111111 2.0 0.07 0.015 0.05 0.111111111111 15.0 45.0 75.0 15.0 0.02 0.02 1.0 1.05 1000.0 0.0 3 0.0 0.0 45.0
23 -inf 1347900.44808 0.007540000000000001 0.013683 1.07595 0.065911 1.4 0.136666666667 2.0 0.07 0.015 0.05 0.116666666667 15.0 45.0 75.0 15.0 0.02 0.02 1.0 1.05 1000.0 0.0 3 0.0 0.0 45.0
24 -inf 1329682.158146 0.007540000000000001 0.015768 1.131432 0.068513 1.4 0.142222222222 2.0 0.07 0.015 0.05 0.12222222222200001 15.0 45.0 75.0 15.0 0.02 0.02 1.0 1.05 1000.0 0.0 3 0.0 0.0 45.0
25 -inf 1398701.46584 0.007540000000000001 0.01795 1.181702 0.070776 1.4 0.147777777778 2.0 0.07 0.015 0.05 0.127777777778 15.0 45.0 75.0 15.0 0.02 0.02 1.0 1.05 1000.0 0.0 3 0.0 0.0 45.0
26 -inf 1424807.5091620001 0.007540000000000001 0.020228 1.2275790000000002 0.07282000000000001 1.4 0.153333333333 2.0 0.07 0.015 0.05 0.133333333333 15.0 45.0 75.0 15.0 0.02 0.02 1.0 1.05 1000.0 0.0 3 0.0 0.0 45.0
27 -inf 1399911.523547 0.007540000000000001 0.022604 1.2691059999999998 0.074817 1.4 0.15888888888900002 2.0 0.07 0.015 0.05 0.138888888889 15.0 45.0 75.0 15.0 0.02 0.02 1.0 1.05 1000.0 0.0 3 0.0 0.0 45.0
28 -inf 1465325.3168 0.007540000000000001 0.025077000000000002 1.307835 0.076454 1.4 0.164444444444 2.0 0.07 0.015 0.05 0.14444444444399998 15.0 45.0 75.0 15.0 0.02 0.02 1.0 1.05 1000.0 0.0 3 0.0 0.0 45.0
29 -inf 1491572.751711 0.007540000000000001 0.027645999999999997 1.343016 0.07814299999999999 1.4 0.17 2.0 0.07 0.015 0.05 0.15 15.0 45.0 75.0 15.0 0.02 0.02 1.0 1.05 1000.0 0.0 3 0.0 0.0 45.0
30 -inf 1218029.687289 0.012251999999999999 0.0056549999999999994 0.545534 0.060815999999999995 1.4 0.12 2.0 0.08 0.015 0.05 0.1 15.0 45.0 75.0 15.0 0.02 0.03 1.0 1.05 1000.0 0.0 3 0.0 0.0 45.0
31 -inf 1232398.697367 0.012251999999999999 0.007449 0.6406229999999999 0.068999 1.4 0.125555555556 2.0 0.08 0.015 0.05 0.105555555556 15.0 45.0 75.0 15.0 0.02 0.03 1.0 1.05 1000.0 0.0 3 0.0 0.0 45.0
32 -inf 1267480.8582600001 0.012251999999999999 0.009339 0.7226899999999999 0.075909 1.4 0.131111111111 2.0 0.08 0.015 0.05 0.111111111111 15.0 45.0 75.0 15.0 0.02 0.03 1.0 1.05 1000.0 0.0 3 0.0 0.0 45.0
33 -inf 1366936.009383 0.012251999999999999 0.011327 0.794623 0.081898 1.4 0.136666666667 2.0 0.08 0.015 0.05 0.116666666667 15.0 45.0 75.0 15.0 0.02 0.03 1.0 1.05 1000.0 0.0 3 0.0 0.0 45.0
34 -inf 1370755.17719 0.012251999999999999 0.013412 0.8583940000000001 0.08716 1.4 0.142222222222 2.0 0.08 0.015 0.05 0.12222222222200001 15.0 45.0 75.0 15.0 0.02 0.03 1.0 1.05 1000.0 0.0 3 0.0 0.0 45.0
35 -inf 1427392.3623260001 0.012251999999999999 0.015594 0.9155340000000001 0.091807 1.4 0.147777777778 2.0 0.08 0.015 0.05 0.127777777778 15.0 45.0 75.0 15.0 0.02 0.03 1.0 1.05 1000.0 0.0 3 0.0 0.0 45.0
36 -inf 1495247.31289 0.012251999999999999 0.017872 0.967102 0.095969 1.4 0.153333333333 2.0 0.08 0.015 0.05 0.133333333333 15.0 45.0 75.0 15.0 0.02 0.03 1.0 1.05 1000.0 0.0 3 0.0 0.0 45.0
37 -inf 1537728.3171340001 0.012251999999999999 0.020248 1.013866 0.09977000000000001 1.4 0.15888888888900002 2.0 0.08 0.015 0.05 0.138888888889 15.0 45.0 75.0 15.0 0.02 0.03 1.0 1.05 1000.0 0.0 3 0.0 0.0 45.0
38 -inf 1522543.4895620001 0.012251999999999999 0.022719999999999997 1.056659 0.103199 1.4 0.164444444444 2.0 0.08 0.015 0.05 0.14444444444399998 15.0 45.0 75.0 15.0 0.02 0.03 1.0 1.05 1000.0 0.0 3 0.0 0.0 45.0
39 -inf 1529878.835208 0.012251999999999999 0.02529 1.095917 0.10634300000000001 1.4 0.17 2.0 0.08 0.015 0.05 0.15 15.0 45.0 75.0 15.0 0.02 0.03 1.0 1.05 1000.0 0.0 3 0.0 0.0 45.0
40 -inf 1128161.500674 0.008796 0.0056549999999999994 0.676937 0.038547000000000005 1.4 0.12 2.0 0.08 0.015 0.06 0.1 15.0 45.0 75.0 15.0 0.02 0.02 1.0 1.05 1000.0 0.0 3 0.0 0.0 45.0
41 -inf 1116554.927761 0.008796 0.007449 0.780675 0.042515 1.4 0.125555555556 2.0 0.08 0.015 0.06 0.105555555556 15.0 45.0 75.0 15.0 0.02 0.02 1.0 1.05 1000.0 0.0 3 0.0 0.0 45.0
42 -inf 1119909.927649 0.008796 0.009339 0.868778 0.045898 1.4 0.131111111111 2.0 0.08 0.015 0.06 0.111111111111 15.0 45.0 75.0 15.0 0.02 0.02 1.0 1.05 1000.0 0.0 3 0.0 0.0 45.0
43 -inf 1196871.04687 0.008796 0.011327 0.9455450000000001 0.048581 1.4 0.136666666667 2.0 0.08 0.015 0.06 0.116666666667 15.0 45.0 75.0 15.0 0.02 0.02 1.0 1.05 1000.0 0.0 3 0.0 0.0 45.0
44 -inf 1230443.0672950002 0.008796 0.013412 1.013206 0.051032999999999995 1.4 0.142222222222 2.0 0.08 0.015 0.06 0.12222222222200001 15.0 45.0 75.0 15.0 0.02 0.02 1.0 1.05 1000.0 0.0 3 0.0 0.0 45.0
45 -inf 1234727.9496229999 0.008796 0.015594 1.07368 0.053233 1.4 0.147777777778 2.0 0.08 0.015 0.06 0.127777777778 15.0 45.0 75.0 15.0 0.02 0.02 1.0 1.05 1000.0 0.0 3 0.0 0.0 45.0
46 -inf 1278752.523147 0.008796 0.017872 1.1284399999999999 0.055026 1.4 0.153333333333 2.0 0.08 0.015 0.06 0.133333333333 15.0 45.0 75.0 15.0 0.02 0.02 1.0 1.05 1000.0 0.0 3 0.0 0.0 45.0
47 -inf 1310568.812601 0.008796 0.020248 1.178009 0.056854999999999996 1.4 0.15888888888900002 2.0 0.08 0.015 0.06 0.138888888889 15.0 45.0 75.0 15.0 0.02 0.02 1.0 1.05 1000.0 0.0 3 0.0 0.0 45.0
48 -inf 1290797.1950299998 0.008796 0.022719999999999997 1.223566 0.058384000000000005 1.4 0.164444444444 2.0 0.08 0.015 0.06 0.14444444444399998 15.0 45.0 75.0 15.0 0.02 0.02 1.0 1.05 1000.0 0.0 3 0.0 0.0 45.0
49 -inf 1336729.261546 0.008796 0.02529 1.265379 0.059858 1.4 0.17 2.0 0.08 0.015 0.06 0.15 15.0 45.0 75.0 15.0 0.02 0.02 1.0 1.05 1000.0 0.0 3 0.0 0.0 45.0
50 -inf 1352137.291665 0.014137 0.0029850000000000002 0.322422 0.034266000000000005 1.4 0.12 2.0 0.09 0.015 0.06 0.1 15.0 45.0 75.0 15.0 0.02 0.03 1.0 1.05 1000.0 0.0 3 0.0 0.0 45.0
51 -inf 1260769.657777 0.014137 0.004778 0.45094399999999996 0.043969 1.4 0.125555555556 2.0 0.09 0.015 0.06 0.105555555556 15.0 45.0 75.0 15.0 0.02 0.03 1.0 1.05 1000.0 0.0 3 0.0 0.0 45.0
52 -inf 1209207.764102 0.014137 0.006669 0.557897 0.05148200000000001 1.4 0.131111111111 2.0 0.09 0.015 0.06 0.111111111111 15.0 45.0 75.0 15.0 0.02 0.03 1.0 1.05 1000.0 0.0 3 0.0 0.0 45.0
53 -inf 1214001.324525 0.014137 0.008657 0.649119 0.05756 1.4 0.136666666667 2.0 0.09 0.015 0.06 0.116666666667 15.0 45.0 75.0 15.0 0.02 0.03 1.0 1.05 1000.0 0.0 3 0.0 0.0 45.0
54 -inf 1187141.951412 0.014137 0.010742 0.7283 0.06286599999999999 1.4 0.142222222222 2.0 0.09 0.015 0.06 0.12222222222200001 15.0 45.0 75.0 15.0 0.02 0.03 1.0 1.05 1000.0 0.0 3 0.0 0.0 45.0
55 -inf 1263415.492354 0.014137 0.012922999999999999 0.798107 0.067557 1.4 0.147777777778 2.0 0.09 0.015 0.06 0.127777777778 15.0 45.0 75.0 15.0 0.02 0.03 1.0 1.05 1000.0 0.0 3 0.0 0.0 45.0
56 -inf 1259791.817609 0.014137 0.015202 0.860466 0.071572 1.4 0.153333333333 2.0 0.09 0.015 0.06 0.133333333333 15.0 45.0 75.0 15.0 0.02 0.03 1.0 1.05 1000.0 0.0 3 0.0 0.0 45.0
57 -inf 1327701.877832 0.014137 0.017577000000000002 0.9165530000000001 0.075173 1.4 0.15888888888900002 2.0 0.09 0.015 0.06 0.138888888889 15.0 45.0 75.0 15.0 0.02 0.03 1.0 1.05 1000.0 0.0 3 0.0 0.0 45.0
58 -inf 1337766.589229 0.014137 0.02005 0.967508 0.078501 1.4 0.164444444444 2.0 0.09 0.015 0.06 0.14444444444399998 15.0 45.0 75.0 15.0 0.02 0.03 1.0 1.05 1000.0 0.0 3 0.0 0.0 45.0
59 -inf 1397824.192426 0.014137 0.022619 1.014041 0.081414 1.4 0.17 2.0 0.09 0.015 0.06 0.15 15.0 45.0 75.0 15.0 0.02 0.03 1.0 1.05 1000.0 0.0 3 0.0 0.0 45.0
