Case -H_Brem_IV_max[A/m] A_gap[m2] A_magnet[m2] B_high[T] B_low[T] B_rem_IV[T] R_c[m] R_e[m] R_g[m] R_i[m] R_o[m] R_s[m] alpha_rem_IV_1[deg] alpha_rem_IV_2[deg] alpha_rem_IV_3[deg] delta_phi_S_IV[deg] h_fc[m] h_gap[m] mu_r_IV n_IV phi_S_IV[deg]
0 1412336.58319 0.007540000000000001 0.023091 1.24633 0.08038200000000001 1.4 0.16 2.0 0.07 0.015 0.05 0.14 15.0 45.0 75.0 15.0 0.02 0.02 1.05 3 45.0
1 1448607.03078 0.007540000000000001 0.030041 1.335189 0.086546 1.4 0.175 2.0 0.07 0.015 0.05 0.155 15.0 45.0 75.0 15.0 0.02 0.02 1.05 3 45.0
2 1496702.634702 0.007540000000000001 0.037699 1.4069 0.092364 1.4 0.19 2.0 0.07 0.015 0.05 0.17 15.0 45.0 75.0 15.0 0.02 0.02 1.05 3 45.0
3 1538412.9772649999 0.007540000000000001 0.046064 1.4657040000000001 0.097946 1.4 0.205 2.0 0.07 0.015 0.05 0.185 15.0 45.0 75.0 15.0 0.02 0.02 1.05 3 45.0
4 1566242.5582649999 0.007540000000000001 0.055135 1.5147059999999999 0.103452 1.4 0.22 2.0 0.07 0.015 0.05 0.2 15.0 45.0 75.0 15.0 0.02 0.02 1.05 3 45.0
5 1484647.341794 0.012251999999999999 0.020735 1.001884 0.103814 1.4 0.16 2.0 0.08 0.015 0.05 0.14 15.0 45.0 75.0 15.0 0.02 0.03 1.05 3 45.0
6 1533947.327067 0.012251999999999999 0.027685 1.10132 0.11306600000000001 1.4 0.175 2.0 0.08 0.015 0.05 0.155 15.0 45.0 75.0 15.0 0.02 0.03 1.05 3 45.0
7 1576257.773158 0.012251999999999999 0.035343 1.182276 0.120902 1.4 0.19 2.0 0.08 0.015 0.05 0.17 15.0 45.0 75.0 15.0 0.02 0.03 1.05 3 45.0
8 1618916.0275299998 0.012251999999999999 0.043706999999999996 1.24967 0.127771 1.4 0.205 2.0 0.08 0.015 0.05 0.185 15.0 45.0 75.0 15.0 0.02 0.03 1.05 3 45.0
9 1665722.950575 0.012251999999999999 0.052779 1.306586 0.133911 1.4 0.22 2.0 0.08 0.015 0.05 0.2 15.0 45.0 75.0 15.0 0.02 0.03 1.05 3 45.0
10 1189608.789133 0.010053 0.018064 1.040529 0.045675 1.4 0.16 2.0 0.09 0.015 0.07 0.14 15.0 45.0 75.0 15.0 0.02 0.02 1.05 3 45.0
11 1233130.8729680001 0.010053 0.025015 1.1651200000000002 0.050076999999999997 1.4 0.175 2.0 0.09 0.015 0.07 0.155 15.0 45.0 75.0 15.0 0.02 0.02 1.05 3 45.0
12 1276332.961949 0.010053 0.032673 1.266369 0.05399400000000001 1.4 0.19 2.0 0.09 0.015 0.07 0.17 15.0 45.0 75.0 15.0 0.02 0.02 1.05 3 45.0
13 1309990.5200780001 0.010053 0.041037 1.3503180000000001 0.057547 1.4 0.205 2.0 0.09 0.015 0.07 0.185 15.0 45.0 75.0 15.0 0.02 0.02 1.05 3 45.0
14 1348124.172171 0.010053 0.050108 1.420547 0.060913 1.4 0.22 2.0 0.09 0.015 0.07 0.2 15.0 45.0 75.0 15.0 0.02 0.02 1.05 3 45.0
15 1200830.943152 0.016022 0.015080000000000001 0.7914100000000001 0.058586 1.4 0.16 2.0 0.1 0.015 0.07 0.14 15.0 45.0 75.0 15.0 0.02 0.03 1.05 3 45.0
16 1250501.673229 0.016022 0.02203 0.928765 0.066492 1.4 0.175 2.0 0.1 0.015 0.07 0.155 15.0 45.0 75.0 15.0 0.02 0.03 1.05 3 45.0
17 1316278.855834 0.016022 0.029688 1.038716 0.073088 1.4 0.19 2.0 0.1 0.015 0.07 0.17 15.0 45.0 75.0 15.0 0.02 0.03 1.05 3 45.0
18 1366641.06758 0.016022 0.038053 1.129704 0.07861599999999999 1.4 0.205 2.0 0.1 0.015 0.07 0.185 15.0 45.0 75.0 15.0 0.02 0.03 1.05 3 45.0
19 1396125.349894 0.016022 0.047124 1.206568 0.083393 1.4 0.22 2.0 0.1 0.015 0.07 0.2 15.0 45.0 75.0 15.0 0.02 0.03 1.05 3 45.0
20 1115387.3858120001 0.012565999999999999 0.011781 0.770068 0.029043 1.4 0.16 2.0 0.11 0.015 0.09 0.14 15.0 45.0 75.0 15.0 0.02 0.02 1.05 3 45.0
21 1122808.384833 0.012565999999999999 0.018732 0.938262 0.032394 1.4 0.175 2.0 0.11 0.015 0.09 0.155 15.0 45.0 75.0 15.0 0.02 0.02 1.05 3 45.0
22 1184294.401126 0.012565999999999999 0.026389 1.0713190000000001 0.035322000000000006 1.4 0.19 2.0 0.11 0.015 0.09 0.17 15.0 45.0 75.0 15.0 0.02 0.02 1.05 3 45.0
23 1219858.356014 0.012565999999999999 0.034754 1.180971 0.037989 1.4 0.205 2.0 0.11 0.015 0.09 0.185 15.0 45.0 75.0 15.0 0.02 0.02 1.05 3 45.0
24 1255639.7115860002 0.012565999999999999 0.043825 1.2733729999999999 0.040514 1.4 0.22 2.0 0.11 0.015 0.09 0.2 15.0 45.0 75.0 15.0 0.02 0.02 1.05 3 45.0
25 1226455.053612 0.019791999999999997 0.008168 0.5096930000000001 0.032608 1.4 0.16 2.0 0.12 0.015 0.09 0.14 15.0 45.0 75.0 15.0 0.02 0.03 1.05 3 45.0
26 1194703.285435 0.019791999999999997 0.015119 0.703637 0.04004 1.4 0.175 2.0 0.12 0.015 0.09 0.155 15.0 45.0 75.0 15.0 0.02 0.03 1.05 3 45.0
27 1211690.783866 0.019791999999999997 0.022777000000000002 0.848253 0.046385 1.4 0.19 2.0 0.12 0.015 0.09 0.17 15.0 45.0 75.0 15.0 0.02 0.03 1.05 3 45.0
28 1208979.155877 0.019791999999999997 0.031141000000000002 0.9653579999999999 0.051154000000000005 1.4 0.205 2.0 0.12 0.015 0.09 0.185 15.0 45.0 75.0 15.0 0.02 0.03 1.05 3 45.0
